userId,likes
0,"[1, 9, 25, 27, 352, 442, 556]"
1,"[2, 3, 5, 7, 26, 28, 34, 41, 42, 62, 52, 73, 88, 54, 104, 108, 111, 120, 121, 123, 127, 102, 137, 97, 64, 156, 141, 161, 83, 175, 176, 172, 182, 217, 224, 228, 249, 259, 260, 271, 309, 342, 343, 344, 347, 357, 358, 369, 377, 381, 76, 174, 261, 140, 466, 490, 45, 532, 136, 239, 88, 521, 538, 546, 555, 496, 561, 339, 348, 565, 572, 575, 577, 597, 207, 606, 218, 221, 615, 603, 361, 627, 709, 560, 658, 795, 809, 811, 753, 822, 838, 845, 852, 849, 70, 855, 106, 724, 725, 738, 84, 873, 879, 885, 888, 823, 891, 805, 893, 905, 217, 930, 543, 973, 276, 937, 387, 406, 85, 1030, 843, 976, 612, 1062, 348, 1063, 1102, 683, 1107, 147, 1133, 1135, 1137, 1146, 1147, 760, 682, 605, 329, 399, 976, 1229, 1125]"
2,[4]
3,"[6, 26, 224, 228, 499]"
4,"[8, 212, 213, 214, 97, 226, 227, 233, 235, 165, 105, 73, 267, 268, 269, 177, 303, 304, 308, 110, 166, 364, 514, 515, 516, 545, 630, 519, 659, 692, 542, 707, 715, 86, 711, 513, 719, 188, 189, 190, 757, 758, 761, 763, 765, 766, 762, 756, 742, 779, 792, 7, 799, 817, 818, 819, 820, 821, 667, 801, 749, 585, 793, 825, 827, 832, 833, 834, 805, 844, 848, 857, 864, 865, 869, 806, 896, 897, 875, 246, 247, 248, 913, 914, 863, 920, 916, 921, 874, 654, 880, 843, 970, 963, 425, 898, 986, 713, 998, 881, 1022, 1024, 1032, 917, 1069, 1070, 809, 329, 1117, 1119, 1108, 1061, 1138, 1139, 1106, 1140, 806, 972, 739, 171, 150, 745, 221, 152, 151, 576, 674, 1156, 852, 1157, 280, 306, 285, 987, 1110, 194, 271, 912, 699, 1166, 1168, 1125, 1169, 1170, 1171, 413, 1150, 399, 140, 217, 770, 216, 1175, 1177, 1052, 1179, 546, 640, 524, 1197, 1198, 1199, 1200, 1201, 554, 1202, 1208, 1160]"
5,"[10, 9, 11, 30, 93, 126, 145, 140, 163, 45, 57, 63, 51, 76, 164, 22, 34, 396, 397, 398, 243, 415, 425, 310, 426, 272, 257, 113, 52, 210, 35, 427, 428, 53, 429, 430, 431, 432, 433, 434, 133, 457, 496, 339, 542, 672, 360, 673, 684, 65, 685, 701, 519, 716, 718, 739, 740, 483, 658, 741, 158, 303, 755, 759, 762, 768, 769, 803, 775, 694, 793, 874, 570, 884, 612, 892, 756, 838, 254, 891, 905, 710, 545, 916, 898, 947, 948, 950, 839, 951, 963, 969, 980, 981, 984, 989, 997, 781, 972, 841, 1033]"
6,"[12, 9, 22, 29, 36, 37, 34, 74, 109, 142, 165, 169, 177, 184, 208, 222, 236, 281, 376, 45, 409, 446, 199, 540, 553, 336, 412, 522, 670, 680, 690, 691, 704, 713]"
7,"[12, 29, 31, 74, 109, 165, 142, 169, 222, 236, 281, 317, 320, 325, 34, 378, 376, 379, 45, 199, 540, 551, 553, 412, 600, 619, 374, 680, 670, 690, 691, 612, 712, 713, 728, 153, 154]"
8,[13]
9,"[14, 15]"
10,"[16, 17, 23, 24, 43, 44, 75, 76, 108, 111, 121, 136, 173, 174, 178, 183, 209, 210, 107, 250, 265, 266, 272, 163, 310, 316, 348, 349, 350, 30, 153, 154, 452, 373, 399, 339, 197, 9, 45, 564, 303, 34, 615, 620, 621, 560, 679, 688, 693, 703, 666, 463, 724, 725, 737, 738, 473, 406, 407, 408, 791, 794, 714, 492, 498, 604, 308, 807, 815, 853, 854, 228, 271, 858, 859, 860, 866, 495, 868, 390, 872, 36, 878, 883, 890, 894, 899, 900, 901, 908, 909, 915, 507, 191, 922, 959, 455, 975, 758, 979, 918, 985, 880, 538, 991, 992, 993, 106, 994, 996, 898, 1004, 781, 196, 861, 1091, 1092, 1090, 1063, 1078, 501, 1097, 1098, 1100, 1104, 1110, 1111, 1115, 1116, 462, 1121, 1123, 1124, 1127, 192, 1144, 1148, 1149, 1150, 1152, 1154, 1155, 805, 1158, 1159, 43, 449, 745, 1226, 1230, 852, 1231, 1232, 1168]"
11,"[2, 3, 33, 62, 67, 68, 69, 70, 104, 111, 120, 123, 172, 182, 175, 271, 259, 326, 351, 417, 76, 424, 448, 174, 261, 140, 490, 45, 534, 555, 496, 566, 567, 339, 561, 568, 592, 605, 606, 603, 677, 709, 560, 733, 734, 796, 809, 849, 845, 850, 838, 851, 861, 873, 84, 877, 889, 888, 905, 92, 911, 973, 1001, 926, 1002, 937, 25, 1016, 1021, 1026, 1030, 348, 147, 1133, 1123, 1135, 1136, 1137, 399, 976, 1209, 1219, 1220, 1221, 1228, 1229]"
12,[18]
13,"[19, 20, 21, 28, 32, 63, 72, 64, 112, 114, 118, 149, 4, 159, 99, 40, 59, 217, 219, 223, 225, 230, 237, 238, 240, 241, 270, 45, 276, 321, 346, 370, 373, 374, 384, 356, 391, 394, 303, 9, 279, 418, 435, 449, 450, 458, 475, 485, 489, 213, 502, 505, 390, 513, 523, 246, 527, 533, 239, 543, 496, 521, 571, 573, 574, 579, 582, 642, 495, 662, 671, 682, 122, 714, 721, 727, 731, 581, 754, 181, 760, 254, 780, 790, 797, 823, 826, 831, 764, 805, 863, 793, 429, 1009, 1083]"
14,"[35, 45, 101, 331, 332, 333, 334, 335, 336, 337, 338, 261, 197, 481, 487, 488]"
15,[28]
16,"[38, 39, 11, 40, 64]"
17,[11]
18,"[17, 45, 46, 60, 61, 64, 119, 124, 97, 100, 66, 139, 144, 83, 146, 147, 148, 202, 251, 252, 253, 261, 274, 275, 401, 402, 403, 339, 275, 404, 405, 406, 407, 408, 443, 444, 445, 11, 447, 140, 96, 179, 50, 376, 457, 10, 51, 522, 199, 547, 513, 548, 550, 388, 172, 496, 497, 583, 480, 633, 634, 635, 636, 637, 560, 582, 627, 486, 494, 694, 394, 540, 695, 750, 519, 632, 751, 752, 1036, 1037, 1038, 1039, 1040, 1041, 1042, 1043, 1044, 790, 891, 880, 843, 967, 686, 840]"
19,"[47, 64, 77, 78, 96, 135]"
20,"[10, 48, 49, 50, 51, 52, 53, 35, 54, 55, 56, 30, 57, 9, 58, 59, 93, 94, 63, 126, 97, 131, 140, 34, 145, 179, 180, 181, 164, 77, 257, 261, 86, 64, 509, 269]"
21,"[65, 170, 186, 229, 239, 292, 324, 341, 382, 376, 393, 412, 472, 473, 199, 483, 484, 486, 559, 560, 599, 600, 603, 726, 730, 829, 830, 172]"
22,"[66, 112, 254, 255]"
23,[71]
24,"[79, 92, 107, 125, 102, 143, 195, 66, 500, 563, 627, 496, 521, 632, 407, 83, 401, 9, 40, 519, 651, 45, 345, 444, 179, 657, 665, 668, 674, 675, 627, 465, 687, 689, 556, 457, 4, 717, 610, 722, 723, 483, 767, 773, 480, 406, 309, 871, 895, 891, 912, 392, 683, 1002, 805, 559, 239, 1095, 1096, 739]"
25,"[45, 80, 49, 81, 82, 83, 84, 85, 102]"
26,"[86, 85, 87, 95, 105, 115, 116, 117, 129, 130, 129, 35, 157, 158, 194, 34, 323, 34, 327, 328, 303, 45, 383, 373, 387, 47, 390, 165, 113, 188, 229, 339, 464, 412, 467, 493, 494, 495, 501, 539, 393, 496, 566, 581, 584, 585, 598, 601, 607, 608, 261, 631, 639, 637, 663, 100, 681, 720, 746, 746, 747, 753, 748, 776, 777, 778, 798, 824, 828, 835, 527, 1007, 544, 1031, 1045, 1051, 1063, 1071, 1072, 1084, 1086, 1087, 1093, 1012, 1099, 1103, 654, 1112, 1120, 1114, 800, 1196, 1213, 740, 1214, 1216, 1217, 1218, 1222, 1223, 624, 1227]"
27,"[70, 89, 90, 91, 696, 697, 698, 306, 699, 507, 700, 293, 295, 711, 495, 214, 735, 736, 743, 744, 432, 513, 886, 412, 974, 808, 918, 918, 875, 1109, 169, 905, 1210, 1022]"
28,[97]
29,"[98, 99, 100, 103]"
30,"[106, 107, 110, 158, 34, 303, 45, 65, 373, 165, 113, 339, 456, 457, 412, 465, 466, 467, 493, 494, 495, 501, 122, 505, 496, 581, 601, 261, 637, 663, 100, 1007]"
31,"[112, 127, 50, 199, 419, 420, 423, 474, 164, 482, 503, 504, 521, 536, 562, 578, 260, 660, 661, 836, 837, 846, 962, 967, 968]"
32,"[113, 122, 128, 133, 150, 151, 152, 153, 154, 188, 189, 190, 191, 192, 78, 193, 215, 216, 218, 221, 171, 258, 278, 305, 306, 307, 194, 58, 311, 314, 315, 318, 319, 322, 328, 339, 340, 340, 353, 354, 355, 362, 165, 363, 365, 300, 366, 367, 368, 371, 34, 375, 380, 385, 386, 387, 47, 359, 360, 392, 251, 395, 399, 136, 400, 410, 411, 412, 413, 414, 416, 35, 421, 422, 373, 436, 287, 64, 437, 438, 439, 195, 45, 440, 441, 459, 460, 54, 461, 462, 177, 463, 196, 141, 65, 210, 469, 470, 471, 275, 491, 52, 492, 498, 73, 507, 508, 511, 512, 520, 524, 13, 465, 526, 531, 535, 541, 542, 120, 501, 29, 528, 432, 554, 226, 557, 558, 570, 161, 576, 604, 609, 610, 611, 612, 613, 614, 616, 617, 618, 622, 623, 624, 625, 556, 626, 628, 629, 457, 505, 640, 641, 394, 496, 261, 655, 656, 134, 444, 638, 658, 664, 521, 669, 483, 676, 484, 678, 519, 683, 686, 705, 706, 513, 1, 742, 349, 350, 745, 749, 654, 650, 756, 793, 739, 801, 804, 754, 806, 560, 808, 704, 813, 224, 814, 228, 816, 839, 840, 841, 842, 903, 904, 906, 774, 907, 758, 917, 918, 838, 866, 919, 897, 923, 863, 97, 924, 943, 953, 954, 955, 1000, 714, 1003, 976, 972, 1017, 666, 1034, 174, 905, 775, 1058, 1059, 1060, 1029, 1061, 800, 1079, 1080, 971, 1035, 1081, 268, 269, 1088, 1089, 1093, 1012, 1088, 1105, 1106, 1108, 875, 1010, 1143, 1138, 891, 1052, 1162, 1163, 1164, 1078, 1205, 1203, 1205, 1125, 1206, 1207, 1215, 1196, 352, 1230, 852, 1225]"
33,"[105, 132, 166, 187, 66, 245]"
34,"[125, 34, 107, 65, 52]"
35,"[134, 136, 138, 155, 45, 800, 802, 812, 1056, 1057, 1118, 352, 1172, 891, 1176, 1180, 1203]"
36,"[141, 134, 86, 165, 550, 486, 496, 303, 739, 764, 774, 4, 810, 461, 542, 843, 838, 56, 749, 847, 505, 505, 373, 880, 881, 59]"
37,"[45, 160, 16, 162, 63, 211, 122, 11, 345, 372, 64, 451, 445, 468, 303, 465, 510, 530, 537, 27, 373, 158, 580, 501, 638, 261, 199, 708, 714, 494, 210, 732, 748, 394, 789, 800, 380, 129, 856, 843, 862, 870, 875, 31, 339, 483, 887, 739, 898, 910, 808, 988, 406, 955, 999, 113, 1012, 1015, 1055, 780, 732, 1073, 1078, 1085, 1094, 1114, 972, 1125, 741, 136, 70, 1090, 283, 1016, 1153, 147, 1135, 1173, 423, 1204, 1141, 1224, 176]"
38,[45]
39,"[167, 168, 83, 200]"
40,[171]
41,"[185, 34, 496, 497, 49, 231]"
42,"[196, 197]"
43,"[198, 199]"
44,"[201, 220]"
45,"[203, 204, 205, 206, 207, 178, 304, 453, 454, 455, 586, 587, 588, 384, 589, 590, 591, 593, 594, 313, 595, 596, 781, 782, 783, 523, 784, 785, 786, 787, 788, 915, 925, 926, 927, 928, 453, 929, 507, 931, 932, 933, 975, 850, 1077, 1181, 1182, 986, 1183, 1121, 1184, 1185, 1186, 1187, 1150, 1188, 1155, 1189, 1190, 1191, 1192, 1193, 1194, 1195]"
46,"[97, 231, 232, 483, 496, 544]"
47,[197]
48,[234]
49,"[109, 165]"
50,"[217, 242, 243, 244, 245, 246, 247, 248]"
51,[256]
52,"[262, 263, 264]"
53,"[273, 63, 102, 50, 179, 210, 312, 313, 64, 199, 38, 356, 303, 388, 389, 521]"
54,[277]
55,"[279, 280, 261, 241, 282, 277, 59, 189, 190, 283, 136, 284, 285, 9, 286, 287, 288, 289, 4, 290, 291, 293, 294, 295, 296, 258, 297, 298, 299, 64]"
56,[284]
57,"[300, 210, 192, 301, 302, 78]"
58,"[329, 330, 52]"
59,"[359, 360, 361]"
60,[359]
61,"[339, 373]"
62,"[476, 477, 478, 479, 480, 373, 506]"
63,"[517, 11, 9, 518]"
64,[519]
65,"[525, 530, 537, 373, 158, 569, 496, 638, 261, 199, 702, 251, 473, 708, 560, 394, 374, 862, 863, 867, 870, 714, 875, 876, 339, 882, 483, 739, 898, 902, 910, 880, 987, 990, 955, 387, 976, 999, 113, 406, 1015, 1029, 1078, 1114, 1125, 741, 1103, 136, 70, 1090, 283, 1016, 360, 839, 918, 1168, 423, 29, 1211, 1212, 1141, 1225, 1224, 1226, 176]"
66,"[254, 528, 529]"
67,"[496, 521, 482, 615, 652, 710, 484, 509, 683, 805, 419, 1008, 406, 987, 1035, 972, 902, 1090, 1061, 880, 1052, 1094, 34, 1101, 1113, 1050, 1141, 1142, 1160, 1161, 507]"
68,"[549, 552, 513, 445]"
69,[560]
70,"[519, 602, 182]"
71,"[542, 653]"
72,"[643, 714]"
73,"[644, 46, 649, 107, 666, 667]"
74,"[645, 412, 136, 45, 646, 478, 292, 647, 261, 648]"
75,"[507, 521, 373, 505]"
76,[650]
77,[404]
78,[542]
79,"[654, 521, 513, 522]"
80,[654]
81,"[163, 217]"
82,[522]
83,"[45, 729, 210]"
84,"[770, 246, 771, 216, 772, 210, 545]"
85,[775]
86,[361]
87,"[524, 386, 938, 939, 897, 91]"
88,"[934, 935, 936, 74, 937, 541, 474, 928]"
89,"[843, 496, 77, 228, 149, 507, 242, 210, 940, 424, 978, 898, 995]"
90,"[941, 762, 942, 754, 654, 553, 246, 247, 248, 944, 881, 797, 45, 245, 945, 904, 946, 412, 808, 875, 242, 243, 244, 217, 949, 113, 961, 638, 923, 971, 976, 977, 11, 302, 1013, 638, 1014, 282, 1018, 1019, 4, 1020, 517, 1074, 949, 1075, 1076, 616, 530, 1134, 1061, 1156, 221, 319, 664, 305, 255, 307, 315, 171, 306, 380, 218, 1141, 913, 1178]"
91,"[952, 548]"
92,"[956, 957, 800, 171, 459, 210, 45, 163, 200]"
93,"[958, 254, 940]"
94,"[45, 775, 866, 960]"
95,"[166, 964, 965, 966, 519, 850]"
96,[972]
97,"[838, 982, 983, 998, 1005, 1006, 886, 1048, 1049, 1050, 521, 89, 89, 1052, 49, 1053, 1054, 1064, 1064, 1065, 1035, 972, 903, 912, 938, 318]"
98,[128]
99,"[16, 847, 880]"
100,[45]
101,"[775, 866]"
