movieId,avgScore
1,7.93
2,8.57
3,8.95
4,8.67
5,7.91
6,7.2
7,8.19
8,7.83
9,8.55
10,7.67
11,8.26
12,8.64
13,8.23
14,8.05
15,7.56
16,7.67
17,6.06
18,8.32
19,7.74
20,8.31
21,7.24
22,7.38
23,7.95
24,8.38
25,7.11
26,8.07
27,8.21
28,8.19
29,7.59
30,7.76
31,7.98
32,7.24
33,8.09
34,7.7
35,8.39
36,9.07
37,6.64
38,7.8
39,6.81
40,7.28
41,7.88
42,7.28
43,8.07
44,8.72
45,7.7
46,6.63
47,7.35
48,7.52
49,6.7
50,6.53
51,7.96
52,8.91
53,6.91
54,7.67
55,7.23
56,7.53
57,8.14
58,7.09
59,8.59
60,6.78
61,7.23
62,8.1
63,8.39
64,8.82
65,8.84
66,8.48
67,8.87
68,7.19
69,8.35
70,6.96
71,6.53
72,8.76
73,8.73
74,6.62
75,8.89
76,8.29
77,7.33
78,7.02
79,7.92
80,8.01
81,8.69
82,6.67
83,7.94
84,6.47
85,6.54
86,7.74
87,6.76
88,6.07
89,6.41
90,7.92
91,6.65
92,7.89
93,7.63
94,7.44
95,7.88
96,8.37
97,7.51
98,7.82
99,8.41
100,8.54
101,7.97
102,6.2
103,7.19
104,6.6
105,7.45
106,6.97
107,6.98
108,7.37
109,7.23
110,6.11
111,7.65
112,7.34
113,7.55
114,6.97
115,7.74
116,9.03
117,6.99
118,7.42
119,8.85
120,7.74
121,6.9
122,6.95
123,6.99
124,6.85
125,7.28
126,7.26
127,8.37
128,8.48
129,9.05
130,8.67
131,7.6
132,8.92
133,6.74
134,7.26
135,8.32
136,7.15
137,7.21
138,7.23
139,8.24
140,7.34
141,7.87
142,7.75
143,8.66
144,8.22
145,7.83
146,8.11
147,8.56
148,8.27
149,8.1
150,7.32
151,7.55
152,7.75
153,6.63
154,8.24
155,6.65
156,6.29
157,8.25
158,8.29
159,7.5
160,6.92
161,8.27
162,7.19
163,8.36
164,5.33
165,6.45
166,7.91
167,7.0
168,7.73
169,7.02
170,7.37
171,7.41
172,7.14
173,6.72
174,6.38
175,8.44
176,8.09
177,9.18
178,7.99
179,7.46
180,6.6
181,7.46
182,7.81
183,6.6
184,7.47
185,8.58
186,7.82
187,8.01
188,8.7
189,8.24
190,6.89
191,5.4
192,7.64
193,5.26
194,7.88
195,8.73
196,8.69
197,7.93
198,7.78
199,7.53
200,6.67
201,9.06
202,7.5
203,8.5
204,6.84
205,8.0
206,8.12
207,6.56
208,6.76
209,7.67
210,7.2
211,7.59
212,6.81
213,8.27
214,6.81
215,7.7
216,8.04
217,7.74
218,7.41
219,6.71
220,7.74
221,9.0
222,7.75
223,6.9
224,6.84
225,6.82
226,7.4
227,8.34
228,6.59
229,5.74
230,7.35
231,7.67
232,6.18
233,7.95
234,8.01
235,7.9
236,6.38
237,7.73
238,6.87
239,7.72
240,8.38
241,8.53
242,6.62
243,7.54
244,8.26
245,7.82
246,7.9
247,7.42
248,6.76
249,8.71
250,8.09
251,7.37
252,7.8
253,7.99
254,6.99
255,8.2
256,8.11
257,7.12
258,7.68
259,7.86
260,6.91
261,7.45
262,6.51
263,7.98
264,6.83
265,7.71
266,7.19
267,6.33
268,7.96
269,7.62
270,7.93
271,6.38
272,8.25
273,7.64
274,7.67
275,7.75
276,7.54
277,7.44
278,6.52
279,6.54
280,8.85
281,7.94
282,8.58
283,7.64
284,7.39
285,8.62
286,8.76
287,7.38
288,8.82
289,8.78
290,6.67
291,7.56
292,7.3
293,7.22
294,7.17
295,8.4
296,8.58
297,6.35
298,6.85
299,7.13
300,6.93
301,8.11
302,8.88
303,7.18
304,6.21
305,7.18
306,7.2
307,7.41
308,8.48
309,8.3
310,7.42
311,4.93
312,7.31
313,6.33
314,7.44
315,6.75
316,7.96
317,7.11
318,6.95
319,7.62
320,7.6
321,8.12
322,7.57
323,7.69
324,7.5
325,8.12
326,7.83
327,7.36
328,7.49
329,7.87
330,6.72
331,7.7
332,7.79
333,6.49
334,8.64
335,6.59
336,8.11
337,6.25
338,7.39
339,8.62
340,8.85
341,8.75
342,8.14
343,7.96
344,8.11
345,6.87
346,6.97
347,6.99
348,6.54
349,6.34
350,5.62
351,7.79
352,7.67
353,7.51
354,6.36
355,6.21
356,6.24
357,6.35
358,7.47
359,7.52
360,6.25
361,8.59
362,7.35
363,9.42
364,5.23
365,7.98
366,7.5
367,6.28
368,7.27
369,6.08
370,6.75
371,8.94
372,8.23
373,7.88
374,6.64
375,7.48
376,7.22
377,7.87
378,8.48
379,9.0
380,7.69
381,7.46
382,5.72
383,7.6
384,8.18
385,7.62
386,9.09
387,7.42
388,7.93
389,6.55
390,8.08
391,8.04
392,8.72
393,8.54
394,7.93
395,8.8
396,8.05
397,7.95
