userId,likes
0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
1,"[14, 15]"
2,"[16, 17, 18]"
3,[19]
4,"[15, 20]"
5,"[21, 22, 23, 24]"
6,"[25, 26, 27, 28, 29, 30, 31, 32, 33, 34]"
7,[35]
8,"[36, 12]"
9,"[37, 38, 31, 39]"
10,[40]
11,[7]
12,"[41, 42, 43]"
13,[44]
14,"[45, 46, 47, 48, 49]"
15,[36]
16,[50]
17,[51]
18,[52]
19,[49]
20,[53]
21,[54]
22,"[55, 56, 57, 58, 59, 60, 19, 61, 33]"
23,[62]
24,[63]
25,"[64, 4, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 26, 76, 77, 78, 79, 80, 15, 41, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 31, 92, 93, 94, 95, 36]"
26,"[96, 97]"
27,"[98, 99, 100]"
28,"[101, 102]"
29,"[103, 90, 50]"
30,[15]
31,[104]
32,"[65, 105, 106, 21, 107, 108, 102, 109, 17, 110, 111, 112, 113, 114, 115, 24, 116, 117, 118, 119]"
33,[120]
34,[83]
35,"[62, 45, 121, 122, 123, 124, 81, 125]"
36,[37]
37,[126]
38,"[127, 128, 129, 65, 66, 130, 105, 131, 132, 14, 67, 133, 122, 75, 134, 26, 135, 27, 136, 137, 81, 138, 82, 84, 29, 18, 139, 140, 87, 88, 141, 142, 143, 144, 145, 89, 146, 20, 147, 148, 33, 149, 150]"
39,[116]
40,"[65, 96, 151, 5, 152, 153, 69, 154, 71, 155, 156, 26, 157, 123, 158, 159, 135, 160, 101, 15, 42, 63, 161, 162, 163, 43, 164, 165, 139, 7, 140, 166, 167, 168, 169, 141, 143, 170, 89, 90, 171, 50, 172, 173, 91, 174]"
41,"[175, 176]"
42,"[177, 178, 21, 179, 180, 24, 181, 182, 183, 184]"
43,"[77, 135]"
44,"[75, 110, 111, 112, 23, 97, 185, 186, 187, 188]"
45,"[189, 123, 190, 191, 47, 192, 193, 194]"
