userId,likes
0,[1]
1,"[2, 3]"
2,"[4, 5, 6, 7, 8, 9]"
3,"[2, 4, 10, 11, 7, 12, 13, 14, 15, 3, 16, 17, 18]"
4,"[19, 20, 21, 22, 23, 24]"
5,"[25, 10, 26, 27, 28, 8, 29]"
6,"[30, 31, 5]"
7,"[32, 31]"
8,"[33, 34]"
9,[31]
10,"[17, 35, 36, 3, 37, 25, 38]"
11,[39]
12,"[40, 41, 39, 42]"
13,"[1, 23]"
14,"[31, 22, 6, 43, 3, 44, 45, 46]"
15,"[2, 47, 8]"
16,"[2, 4, 48, 32, 49, 50, 51]"
17,"[2, 23]"
18,"[52, 28]"
19,[2]
20,"[17, 3, 53, 31, 54, 9, 47, 55]"
21,"[2, 56, 57]"
22,"[58, 34]"
23,[33]
24,"[2, 59, 21, 19, 50, 3, 60, 1, 61]"
25,"[2, 62, 52, 28, 63, 7, 49, 14, 3, 64, 47, 23]"
26,[65]
27,[46]
28,"[66, 9]"
29,"[31, 67, 55, 68, 19, 69, 23]"
30,"[2, 49, 33, 3]"
31,"[17, 53, 47, 27]"
32,"[26, 46, 7, 12, 70, 50, 71, 3, 23]"
33,"[72, 10, 73, 74, 32, 38, 75, 71, 64, 44, 76, 68, 77, 49, 37, 78, 20, 79, 80, 48, 34, 81, 23, 82, 21, 35, 83, 11, 24, 13, 51]"
34,"[19, 3, 84, 47, 55, 85]"
35,"[55, 8]"
36,"[2, 31, 75, 65]"
37,[25]
38,[2]
39,"[2, 36, 77, 43, 25]"
40,"[49, 51, 30, 24]"
41,[2]
42,"[86, 78]"
43,"[45, 20, 22, 72, 73]"
44,"[87, 28]"
45,"[31, 53, 22, 26, 25, 88, 34, 60, 40, 45, 67, 77, 61]"
46,[70]
47,"[89, 74]"
48,"[17, 3, 54, 9, 34]"
49,"[57, 53, 24, 90, 9, 47]"
50,[2]
51,"[49, 3, 47, 39]"
52,"[91, 74, 92, 17, 23]"
53,"[79, 88]"
54,[2]
55,"[2, 58, 54, 34]"
56,"[49, 36]"
57,[2]
58,"[2, 4, 6, 85, 12, 81, 67, 68, 90, 69, 37]"
59,"[72, 14, 92, 29, 4, 22, 93, 94, 47, 60, 78, 7, 12, 34, 95, 19, 96, 90, 66, 28, 97, 98, 71, 64, 76, 99, 37, 20, 48, 88, 8, 57, 61, 2, 21, 100, 1, 9, 54, 26, 27, 17, 55, 101, 3, 62, 49, 87, 65, 53, 81, 39, 52, 35, 13, 16, 102, 70, 103, 10, 91, 85, 32, 43, 38]"
60,[101]
61,"[82, 86]"
62,"[2, 82, 26, 68, 71, 64, 43, 15, 25, 38, 23]"
63,"[35, 24, 15, 43, 47, 38, 27, 8, 95, 55, 90, 42]"
64,[10]
65,"[23, 93]"
66,"[72, 73, 32, 15, 43, 38, 88, 92, 95, 75, 28, 104, 42, 61, 101, 97, 82, 4, 93, 24, 60, 44]"
67,"[2, 93, 34]"
68,[103]
69,[26]
70,"[81, 47]"
71,"[21, 35, 42, 43]"
72,"[49, 103, 3, 47, 10, 28]"
73,"[17, 3, 47]"
74,[3]
75,"[18, 67]"
76,"[69, 30, 31, 105, 86]"
77,"[62, 36, 28]"
78,"[49, 33, 3]"
79,[59]
80,"[22, 80]"
81,"[103, 10, 26, 85, 50, 14, 27, 92, 66, 29, 17, 55, 28, 104, 98, 106, 4, 93, 89, 3, 64, 84, 47, 25, 60, 62, 76, 68, 46, 49, 31, 5, 63, 48, 7, 105, 34, 8, 95, 107, 23, 39, 41, 2, 21, 52, 11, 13, 19, 51]"
82,[58]
83,"[55, 65]"
84,"[3, 28]"
85,"[3, 28, 104, 39]"
86,"[2, 49, 51, 3, 33, 8, 48, 39]"
87,[30]
88,[25]
89,"[10, 5, 26, 63, 85, 48, 7, 50, 14, 105, 27, 34, 8, 92, 66, 95, 107, 29, 17, 55, 28, 104, 23, 98, 106, 39, 41, 2, 89, 13, 19, 51, 3, 84, 25, 47, 60, 16, 102]"
90,[86]
91,"[2, 18, 96]"
92,"[79, 31, 63, 7, 43, 75, 55, 104, 41, 2, 93, 24, 40, 44]"
93,[2]
94,"[3, 28]"
95,"[15, 60, 74]"
96,"[52, 33]"
97,"[2, 57]"
98,[55]
99,[92]
